type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-01-13 11:25:29,-7.82393199,110.38507501,12.00,87.825,25.175,0.190,0,18,19,,UAV
T,2026-01-13 11:25:29,-7.82393199,110.38507501,12.00,87.825,25.175,0.190,0,18,19,20260113-182529,GPS Logger: 20260113-182529
T,2026-01-13 11:25:30,-7.82394972,110.38508414,11.50,84.825,25.175,0.000,,19,20,,
T,2026-01-13 11:25:31,-7.82395185,110.38508381,10.50,80.825,25.175,0.700,134,19,21,,
T,2026-01-13 11:25:32,-7.82395822,110.38509789,10.50,78.825,25.175,1.190,132,18,21,,
T,2026-01-13 11:25:33,-7.82397105,110.38510275,10.00,77.825,25.175,0.500,132,19,21,,
T,2026-01-13 11:25:34,-7.82397729,110.38511138,9.50,76.825,25.175,0.410,131,19,21,,
T,2026-01-13 11:25:35,-7.82397390,110.38511323,9.00,75.825,25.175,0.190,131,19,21,,
T,2026-01-13 11:25:36,-7.82396845,110.38510242,9.00,74.825,25.175,0.410,131,19,20,,
T,2026-01-13 11:25:37,-7.82396627,110.38509177,9.00,73.825,25.175,0.200,131,19,20,,
T,2026-01-13 11:25:38,-7.82396522,110.38508280,8.00,74.825,25.175,0.130,131,20,21,,
T,2026-01-13 11:25:39,-7.82396468,110.38507484,8.00,73.825,25.175,0.270,131,20,21,,
T,2026-01-13 11:25:40,-7.82396573,110.38507199,8.00,72.825,25.175,0.000,,19,21,,
T,2026-01-13 11:25:41,-7.82396573,110.38507199,7.50,72.825,25.175,0.000,,20,21,,
T,2026-01-13 11:25:42,-7.82396573,110.38507199,7.00,72.825,25.175,0.000,,19,22,,
T,2026-01-13 11:25:43,-7.82396573,110.38507199,7.50,72.825,25.175,0.000,,17,22,,
T,2026-01-13 11:25:44,-7.82396573,110.38507199,7.00,72.825,25.175,0.000,,20,22,,
T,2026-01-13 11:25:45,-7.82396573,110.38507199,8.00,72.825,25.175,0.000,,17,22,,
T,2026-01-13 11:25:46,-7.82396573,110.38507199,7.00,72.825,25.175,0.000,,18,22,,
T,2026-01-13 11:25:47,-7.82396573,110.38507199,7.00,72.825,25.175,0.000,,17,21,,
T,2026-01-13 11:25:48,-7.82397029,110.38507559,7.00,71.825,25.175,0.730,90,19,22,,
T,2026-01-13 11:25:49,-7.82396535,110.38508113,7.00,71.825,25.175,0.650,83,19,22,,
T,2026-01-13 11:25:50,-7.82396786,110.38508087,6.50,72.825,25.175,0.210,81,20,22,,
T,2026-01-13 11:25:51,-7.82397147,110.38508641,7.00,72.825,25.175,0.310,80,20,22,,
T,2026-01-13 11:25:52,-7.82396979,110.38508356,7.00,73.825,25.175,0.260,78,21,23,,
T,2026-01-13 11:25:53,-7.82397796,110.38509068,6.50,73.825,25.175,0.190,79,21,23,,
T,2026-01-13 11:25:54,-7.82397830,110.38509345,6.50,73.825,25.175,0.240,78,21,22,,
T,2026-01-13 11:25:55,-7.82397650,110.38509278,6.50,73.825,25.175,0.000,,20,22,,
T,2026-01-13 11:25:56,-7.82397650,110.38509278,6.00,73.825,25.175,0.000,,22,24,,
T,2026-01-13 11:25:57,-7.82397796,110.38509144,6.00,74.825,25.175,0.380,80,22,24,,
T,2026-01-13 11:25:58,-7.82397943,110.38509655,6.00,74.825,25.175,0.370,81,23,26,,
T,2026-01-13 11:25:59,-7.82398014,110.38510007,6.50,74.825,25.175,0.380,83,23,26,,
T,2026-01-13 11:26:00,-7.82397989,110.38509890,6.00,74.825,25.175,0.000,,24,26,,
T,2026-01-13 11:26:01,-7.82397989,110.38509890,6.50,74.825,25.175,0.000,,22,26,,
T,2026-01-13 11:26:02,-7.82397989,110.38509890,6.00,74.825,25.175,0.000,,22,25,,
T,2026-01-13 11:26:03,-7.82397989,110.38509890,6.50,74.825,25.175,0.000,,22,25,,
T,2026-01-13 11:26:04,-7.82397989,110.38509890,6.00,74.825,25.175,0.000,,24,25,,
T,2026-01-13 11:26:05,-7.82397989,110.38509890,6.00,74.825,25.175,0.000,,23,25,,
T,2026-01-13 11:26:06,-7.82397989,110.38509890,5.50,74.825,25.175,0.000,,21,24,,
T,2026-01-13 11:26:07,-7.82397759,110.38509596,6.00,75.825,25.175,0.400,72,20,24,,
T,2026-01-13 11:26:08,-7.82397964,110.38508683,6.00,75.825,25.175,0.990,182,20,26,,
T,2026-01-13 11:26:09,-7.82398676,110.38508180,5.50,75.825,25.175,0.850,189,21,26,,
T,2026-01-13 11:26:10,-7.82398878,110.38507727,5.50,75.825,25.175,0.540,215,22,26,,
T,2026-01-13 11:26:11,-7.82398844,110.38507299,6.00,75.825,25.175,0.210,225,20,24,,
T,2026-01-13 11:26:12,-7.82398735,110.38507023,5.50,75.825,25.175,0.770,256,21,26,,
T,2026-01-13 11:26:13,-7.82398781,110.38506637,5.50,75.825,25.175,0.510,274,21,24,,
T,2026-01-13 11:26:14,-7.82398827,110.38506822,6.00,75.825,25.175,0.130,275,15,22,,
T,2026-01-13 11:26:15,-7.82398756,110.38506864,6.00,75.825,25.175,0.050,276,16,21,,
T,2026-01-13 11:26:16,-7.82399075,110.38506813,6.00,75.825,25.175,0.210,282,18,21,,
T,2026-01-13 11:26:17,-7.82398886,110.38507132,6.50,75.825,25.175,0.460,289,18,24,,
T,2026-01-13 11:26:18,-7.82398480,110.38507836,5.50,75.825,25.175,0.490,295,18,24,,
T,2026-01-13 11:26:19,-7.82398379,110.38509227,6.50,74.825,25.175,1.060,47,17,23,,
T,2026-01-13 11:26:20,-7.82399242,110.38509998,6.00,74.825,25.175,1.150,102,15,24,,
T,2026-01-13 11:26:21,-7.82400055,110.38510828,6.50,75.825,25.175,1.590,130,16,24,,
T,2026-01-13 11:26:22,-7.82401032,110.38512572,6.50,75.825,25.175,1.830,134,18,24,,
T,2026-01-13 11:26:23,-7.82401660,110.38514349,7.00,75.825,25.175,1.940,140,13,23,,
T,2026-01-13 11:26:24,-7.82402138,110.38516444,7.50,75.825,25.175,2.000,140,11,23,,
T,2026-01-13 11:26:25,-7.82403006,110.38518012,8.00,75.825,25.175,1.850,144,11,23,,
T,2026-01-13 11:26:26,-7.82404355,110.38518531,8.00,75.825,25.175,1.700,153,9,22,,
T,2026-01-13 11:26:27,-7.82406455,110.38519671,9.00,75.825,25.175,2.320,152,15,25,,
T,2026-01-13 11:26:28,-7.82408194,110.38520853,8.50,75.825,25.175,2.360,144,13,23,,
T,2026-01-13 11:26:29,-7.82409686,110.38521825,9.00,74.825,25.175,1.830,144,13,21,,
T,2026-01-13 11:26:31,-7.82411140,110.38522907,9.00,74.826,25.174,0.830,141,12,19,,
T,2026-01-13 11:26:32,-7.82410994,110.38523602,9.00,74.825,25.175,0.970,119,12,18,,
T,2026-01-13 11:26:33,-7.82410985,110.38524692,9.00,74.825,25.175,1.910,99,11,18,,
T,2026-01-13 11:26:34,-7.82410767,110.38526804,9.00,74.825,25.175,2.600,86,11,18,,
T,2026-01-13 11:26:35,-7.82410813,110.38529218,9.00,74.825,25.175,2.920,84,12,16,,
T,2026-01-13 11:26:36,-7.82410725,110.38531557,9.00,74.825,25.175,2.820,83,12,15,,
T,2026-01-13 11:26:37,-7.82410461,110.38534163,9.00,74.825,25.175,3.150,85,12,15,,
T,2026-01-13 11:26:38,-7.82409803,110.38536720,9.00,74.825,25.175,3.010,81,12,14,,
T,2026-01-13 11:26:39,-7.82408437,110.38538916,9.50,74.825,25.175,2.820,72,12,14,,
T,2026-01-13 11:26:40,-7.82406623,110.38541028,10.00,74.825,25.175,2.950,61,11,15,,
T,2026-01-13 11:26:41,-7.82404514,110.38543434,10.50,74.825,25.175,3.660,52,9,13,,
T,2026-01-13 11:26:42,-7.82402059,110.38546409,10.50,74.825,25.175,3.990,48,8,13,,
T,2026-01-13 11:26:43,-7.82399892,110.38549368,10.50,74.825,25.175,3.820,54,8,13,,
T,2026-01-13 11:26:44,-7.82397951,110.38552185,11.00,74.825,25.175,3.510,57,8,13,,
T,2026-01-13 11:26:45,-7.82396392,110.38554833,11.00,74.825,25.175,3.230,59,8,13,,
T,2026-01-13 11:26:46,-7.82395416,110.38557214,11.50,74.825,25.175,2.640,64,8,11,,
T,2026-01-13 11:26:47,-7.82394469,110.38558605,12.00,74.825,25.175,1.970,67,6,11,,
T,2026-01-13 11:26:48,-7.82392549,110.38558412,12.50,74.825,25.175,1.710,60,6,10,,
T,2026-01-13 11:26:49,-7.82390592,110.38558111,12.50,74.825,25.175,1.910,47,6,9,,
T,2026-01-13 11:26:50,-7.82388157,110.38556996,13.50,74.824,25.176,2.430,26,6,8,,
T,2026-01-13 11:26:51,-7.82385173,110.38554766,14.50,74.824,25.176,3.190,360,6,8,,
T,2026-01-13 11:26:52,-7.82381234,110.38551212,15.50,74.824,25.176,4.500,336,6,8,,
T,2026-01-13 11:26:53,-7.82378158,110.38547189,17.00,74.824,25.176,4.850,319,6,6,,
T,2026-01-13 11:26:54,-7.82374625,110.38541866,19.00,74.824,25.176,5.390,307,5,6,,
T,2026-01-13 11:26:55,-7.82371347,110.38536158,21.00,74.824,25.176,5.750,293,5,6,,
T,2026-01-13 11:26:56,-7.82367923,110.38530157,23.50,74.824,25.176,6.080,282,5,6,,
T,2026-01-13 11:26:57,-7.82364089,110.38523845,26.00,74.824,25.176,6.420,274,5,6,,
